ds,yhat,yhat_lower,yhat_upper
2025-02-28 20:16:27.895415,0.48745965064790386,0.48745965064790386,0.48745965064790386
2025-03-01 20:16:27.895415,-0.18335706079413439,-0.18335706079413439,-0.18335706079413439
2025-03-02 20:16:27.895415,0.8626936878414331,0.8626936878414331,0.8626936878414331
2025-03-03 20:16:27.895415,-0.26630315297474194,-0.26630315297474194,-0.26630315297474194
2025-03-04 20:16:27.895415,1.0536571719539944,1.0536571719539944,1.0536571719539944
2025-03-05 20:16:27.895415,-0.09911351059257867,-0.09911351059257867,-0.09911351059257867
2025-03-06 20:16:27.895415,0.6234113551014204,0.6234113551014204,0.6234113551014204
2025-03-07 20:16:27.895415,-0.03246505327289284,-0.03246505327289284,-0.03246505327289284
2025-03-08 20:16:27.895415,0.750323539495956,0.750323539495956,0.750323539495956
2025-03-09 20:16:27.895415,-0.009402580181772202,-0.009402580181772202,-0.009402580181772202
2025-03-10 20:16:27.895415,0.683081436320157,0.683081436320157,0.683081436320157
2025-03-11 20:16:27.895415,0.04712601733567723,0.04712601733567723,0.04712601733567723
2025-03-12 20:16:27.895415,0.5924894165150126,0.5924894165150126,0.5924894165150126
2025-03-13 20:16:27.895415,0.09644799232162332,0.09644799232162332,0.09644799232162332
2025-03-14 20:16:27.895415,0.5962339707653157,0.5962339707653157,0.5962339707653157
2025-03-15 20:16:27.895415,0.1190779063469053,0.1190779063469053,0.1190779063469053
2025-03-16 20:16:27.895415,0.548984251840622,0.548984251840622,0.548984251840622
2025-03-17 20:16:27.895415,0.15387719003981282,0.15387719003981282,0.15387719003981282
2025-03-18 20:16:27.895415,0.519383289386403,0.519383289386403,0.519383289386403
2025-03-19 20:16:27.895415,0.1813469049264817,0.1813469049264817,0.1813469049264817
2025-03-20 20:16:27.895415,0.5012288843510004,0.5012288843510004,0.5012288843510004
2025-03-21 20:16:27.895415,0.2002631505480722,0.2002631505480722,0.2002631505480722
2025-03-22 20:16:27.895415,0.4767288601435479,0.4767288601435479,0.4767288601435479
2025-03-23 20:16:27.895415,0.22174874049406973,0.22174874049406973,0.22174874049406973
2025-03-24 20:16:27.895415,0.4596296024536084,0.4596296024536084,0.4596296024536084
2025-03-25 20:16:27.895415,0.23814823797595747,0.23814823797595747,0.23814823797595747
2025-03-26 20:16:27.895415,0.4445106211753041,0.4445106211753041,0.4445106211753041
2025-03-27 20:16:27.895415,0.25202322969407476,0.25202322969407476,0.25202322969407476
2025-03-28 20:16:27.895415,0.43052051843647554,0.43052051843647554,0.43052051843647554
2025-03-29 20:16:27.895415,0.2651265648575118,0.2651265648575118,0.2651265648575118
